Date/Time,ETR (Wh/m^2),Electricity:Facility [kW](Hourly),Normalized Solar Energy [kWh],Normalized SE2
 01/16  21:00:00,0,2.1398346162,0,1.42
 01/16  22:00:00,0,1.9658507357,0,1.422
 01/16  23:00:00,0,1.6477517776,0,1.494
 01/16  24:00:00,0,1.3354166254,0,1.515
 01/17  01:00:00,0,1.0268243133,0,1.515
 01/17  02:00:00,0,0.9037510996,0,1.519
 01/17  03:00:00,0,0.8574034668,0,1.502
 01/17  04:00:00,0,0.8449310795,0,1.477
 01/17  05:00:00,0,0.8409425897,0,1.44
 01/17  06:00:00,0,0.8938021236,0,1.423
 01/17  07:00:00,0,1.1101810833,0,1.316
 01/17  08:00:00,39,1.4183266872,0.0975,1.274
 01/17  09:00:00,235,1.3734864286,0.5875,1.186
 01/17  10:00:00,417,1.1919355156,1.0425,1.06
 01/17  11:00:00,548,1.2093964136,1.37,0.958
 01/17  12:00:00,619,1.1763579551,1.5475,0.873
 01/17  13:00:00,625,1.145614442,1.5625,0.634
 01/17  14:00:00,566,1.1143240142,1.415,0.448
 01/17  15:00:00,445,1.1128814314,1.1125,0.341
 01/17  16:00:00,271,1.1802001411,0.6775,0.389
 01/17  17:00:00,67,1.4397868222,0.1675,0.532
 01/17  18:00:00,0,1.9582374788,0,0.474
 01/17  19:00:00,0,2.2596868138,0,0.403
 01/17  20:00:00,0,2.2148625186,0,0.459
 01/17  21:00:00,0,2.06266402,0,0.483
 01/17  22:00:00,0,1.8915974554,0,0.568
 01/17  23:00:00,0,1.5783995584,0,0.645
 01/17  24:00:00,0,1.2728281508,0,0.648
 01/18  01:00:00,0,0.9643871399,0,0.606
 01/18  02:00:00,0,0.8374806244,0,0.551
 01/18  03:00:00,0,0.7908057985,0,0.429
 01/18  04:00:00,0,0.7858927723,0,0.373
 01/18  05:00:00,0,0.7816137174,0,0.336
 01/18  06:00:00,0,0.8360033381,0,0.384
 01/18  07:00:00,0,1.0515952042,0,0.409
 01/18  08:00:00,40,1.3775763525,0.1,0.413
 01/18  09:00:00,238,1.3262369219,0.595,0.361
 01/18  10:00:00,420,1.105589966,1.05,0.301
 01/18  11:00:00,552,1.1108349732,1.38,0.256
 01/18  12:00:00,623,1.0697625552,1.5575,0.205
 01/18  13:00:00,630,1.0236570537,1.575,0.175
 01/18  14:00:00,570,0.9974915805,1.425,0.125
 01/18  15:00:00,450,1.0099471305,1.125,0.093
 01/18  16:00:00,276,1.0945299402,0.69,0.079
 01/18  17:00:00,71,1.3666807029,0.1775,0.085
 01/18  18:00:00,0,1.8984188057,0,0.063
 01/18  19:00:00,0,2.2219690659,0,0.051
 01/18  20:00:00,0,2.1952521794,0,0.041
 01/18  21:00:00,0,2.0522293929,0,0.031
 01/18  22:00:00,0,1.8923839048,0,0.035
 01/18  23:00:00,0,1.5826229311,0,0.042
 01/18  24:00:00,0,1.279039471,0,0.039
 01/19  01:00:00,0,0.9744197951,0,0.031
 01/19  02:00:00,0,0.8561404515,0,0.03
 01/19  03:00:00,0,0.812074509,0,0.039
 01/19  04:00:00,0,0.8013976189,0,0.049
 01/19  05:00:00,0,0.7995927105,0,0.068
 01/19  06:00:00,0,0.8509738314,0,0.077
 01/19  07:00:00,0,1.0661228571,0,0.096
 01/19  08:00:00,42,1.3682951519,0.105,0.116
 01/19  09:00:00,240,1.315418799,0.6,0.142
 01/19  10:00:00,423,1.1316436532,1.0575,0.156
 01/19  11:00:00,555,1.1468009743,1.3875,0.151
 01/19  12:00:00,627,1.125881317,1.5675,0.131
 01/19  13:00:00,634,1.0944830452,1.585,0.131
 01/19  14:00:00,575,1.0635194843,1.4375,0.133
 01/19  15:00:00,455,1.0685553004,1.1375,0.115
 01/19  16:00:00,281,1.1444588623,0.7025,0.09
 01/19  17:00:00,74,1.4040551625,0.185,0.077
 01/19  18:00:00,0,1.9278675262,0,0.069
 01/19  19:00:00,0,2.235079995,0,0.072
 01/19  20:00:00,0,2.1995504945,0,0.084
 01/19  21:00:00,0,2.046335046,0,0.082
 01/19  22:00:00,0,1.889547502,0,0.1
 01/19  23:00:00,0,1.5838485282,0,0.087
 01/19  24:00:00,0,1.2730417822,0,0.109
 01/20  01:00:00,0,0.9734828099,0,0.109
 01/20  02:00:00,0,0.8656448179,0,0.071
 01/20  03:00:00,0,0.8276290808,0,0.072
 01/20  04:00:00,0,0.8292459439,0,0.07
 01/20  05:00:00,0,0.8308809095,0,0.072
 01/20  06:00:00,0,0.8930175752,0,0.069
 01/20  07:00:00,0,1.1107986907,0,0.085
 01/20  08:00:00,44,1.4454647433,0.11,0.077
 01/20  09:00:00,244,1.3865074823,0.61,0.08
 01/20  10:00:00,427,1.2061388779,1.0675,0.062
 01/20  11:00:00,559,1.2336885809,1.3975,0.061
 01/20  12:00:00,632,1.1909803747,1.58,0.062
 01/20  13:00:00,639,1.1366803558,1.5975,0.058
 01/20  14:00:00,580,1.1065419345,1.45,0.058
 01/20  15:00:00,460,1.1116228998,1.15,0.062
 01/20  16:00:00,287,1.1985743071,0.7175,0.074
 01/20  17:00:00,79,1.4700027396,0.1975,0.072
 01/20  18:00:00,0,2.020902633,0,0.077
 01/20  19:00:00,0,2.3231379797,0,0.074
 01/20  20:00:00,0,2.2892259121,0,0.065
 01/20  21:00:00,0,2.1529107193,0,0.068
 01/20  22:00:00,0,1.9889182377,0,0.073
 01/20  23:00:00,0,1.6607176515,0,0.071
 01/20  24:00:00,0,1.3685644216,0,0.067
 01/21  01:00:00,0,1.0724523165,0,0.066
 01/21  02:00:00,0,0.9515578314,0,0.059
 01/21  03:00:00,0,0.909439481,0,0.093
 01/21  04:00:00,0,0.9034261439,0,0.116
 01/21  05:00:00,0,0.9106986783,0,0.115
 01/21  06:00:00,0,0.9687981656,0,0.127
 01/21  07:00:00,0,1.2106090825,0,0.158
 01/21  08:00:00,45,1.5124450443,0.1125,0.144
 01/21  09:00:00,247,1.4568130052,0.6175,0.179
 01/21  10:00:00,431,1.2806239729,1.0775,0.21
 01/21  11:00:00,564,1.3007568113,1.41,0.204
 01/21  12:00:00,636,1.2631364983,1.59,0.196
 01/21  13:00:00,644,1.2222358829,1.61,0.218
 01/21  14:00:00,585,1.1697420946,1.4625,0.247
 01/21  15:00:00,465,1.1782166348,1.1625,0.266
 01/21  16:00:00,292,1.2659168517,0.73,0.261
 01/21  17:00:00,83,1.5422730492,0.2075,0.251
 01/21  18:00:00,0,2.0697774174,0,0.274
 01/21  19:00:00,0,2.3764549117,0,0.306
 01/21  20:00:00,0,2.3278598343,0,0.267
 01/21  21:00:00,0,2.1774395772,0,0.236
 01/21  22:00:00,0,2.0091910245,0,0.29
 01/21  23:00:00,0,1.6859974397,0,0.34
 01/21  24:00:00,0,1.3693407751,0,0.378
 01/22  01:00:00,0,1.053971349,0,0.412
 01/22  02:00:00,0,0.9268127054,0,0.469
